"分類: NDC","棚番号-段","タイトル","編著者","発行者","発行年","言語","注記：原著名／仮訳、ISBN等","貴重書","タグ"
"629.21","02-2","日本庭園の秘法 : <渋さ>の解明","斎藤勝雄, 和田貞次 著","日貿出版社","1970","","","",""
"629.21","02-2","庭と茶室","西村 貞 著, 高橋 良雄 写真","大日本雄弁会講談社","1957","","原色図版 (はり込) 39枚 ","",""
"629.21","02-2","夢窓国師 禅と庭園 ","川瀬 一馬 著、名鏡 勝朗 撮影","講談社","1968","","川瀬 一馬, 1906-1999","",""
"521.5","02-2","小堀遠州の作事　(奈良国立文化財研究所学報  第18冊)","森 蘊 著","奈良国立文化財研究所","1966","","森 蘊, 1905-1988","","#江戸べらぼう"
"629.21","02-2","数寄の庭：川崎幸次郎作庭集","川崎 幸次郎 著","淡交社(京都)","1994.11","","","",""
"629.21","02-2","植治の庭 : 小川治兵衛の世界","尼崎 博正 編, 田畑 みなお 撮影","淡交社(京都)","1990.10","","","",""
"629.21","02-2","京の意匠　庭園","伊藤 ていじ 著, 山本 建三 写真","光村推古書院(京都)","1982.7","","","",""
"629.21","02-2","京都秘蔵の庭","水野克比古 写真
小埜雅章 文","光村推古書院(京都)","2004.6","","","",""
"629.21","02-2","京都坪庭","水野 克比古 著・写真","光村推古書院(京都)","2001.12","","","",""
"629.61","02-2","飛石の美","岡崎 文彬 著","養賢堂","1996.3","","","",""
"629.61","02-2","庭石と水の由来 : 日本庭園の石質と水系","尼崎 博正 著","昭和堂(京都)","2002.2","","","",""
"521.825 ","02-2","桂離宮","石元 泰博 著","六曜社","2014.6",""," 英語併記 ","",""
"702.15","02-2","桂離宮","本文：梅棹 忠夫、川添 登、写真：佐藤 辰三","淡交新社(京都)","1962.2 (再版)","","","",""
"629.21","02-2","龍安寺 : 枯山水の海     (日本の庭園美 4)","井上 靖, 千 宗室 監修,  西川孟 撮影","集英社","1989.5","","","",""
"629.21","02-2","名勝観音院庭園保存修理","名勝観音院庭園保存修理事業報告書編纂委員会 編","宗教法人 観音院 (鳥取市) ","1988.3","","箱あり","",""
"629.21","02-2","東日本の庭園","吉河 功 著","有明書房","1971.9","","","",""
"629.21","02-2","東京の庭","西田 富三郎 著","紀伊国屋書店","1959","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"210.02","02-3","坪井清足先生卒寿記念論文集 : 埋文行政と研究のはざまで","坪井清足先生の卒寿をお祝いする会 編","坪井清足先生の卒寿をお祝いする会","2010.11","","上巻568p
下巻p569-1312
杉尾伸太郎執筆:p60-64","",""
"210.025","02-3","空から見た古代遺跡と条里","条里制研究会 編","大明堂","1997.5","","","",""
"629.21","02-3","京都の庭園 : 遺跡にみる平安時代の庭園　　 (京都市文化財ブックス  第5集)","京都市文化観光局文化部文化財保護課 編","京都市","1990.3","","","",""
"216.5","02-3","飛鳥誌","佐藤 小吉 編","天理時報社 (丹波市町 (奈良県) )","1944　(昭和19)","","","",""
"210.02","02-3","長岡京跡発掘調査報告　（京都市埋蔵文化財研究所調査報告　第２冊）","京都市埋蔵文化財研究所 編","（㈶）京都市埋蔵文化財研究所","1978.2","","","",""
"210.36","02-3","長岡京研究序説","山中 章 著","塙書房","2001.4","","","",""
"910.23","02-3","王朝文学と建築・庭園      (平安文学と隣接諸学  1)","倉田 実 編","竹林舎","2007.5","","","",""
"521.37","02-3","平安京の邸第　　(望稜叢書 3)","朧谷 寿, 加納 重文, 高橋 康夫 編","望稜舎(京都)","1987.5","","","",""
"521.825","02-3","京都御所　［新訂］","藤岡 通夫 著","中央公論美術出版","1987.10","","内裏・内裏各殿舎の変遷、遺構","",""
"521.825","02-3","京都御所　大宮・仙洞御所　　（京都新聞創刊125年記念出版）","京都新聞出版センター 編, 京都新聞企画事業株式会社","京都新聞出版センター(京都)","2004.10","","","",""
"521.5","02-3","修学院離宮","谷口 吉郎 著, 佐藤 辰三 撮影","淡交新社","1962","","","",""
"291.62","02-3","平安京：京都　都市図と都市構造","金田 章裕 編","京都大学学術出版会","2007.2","","","",""
"523.1","02-3","国宝迎賓館赤坂離宮","制作協力: 小玉 正任 文学博士, 迎賓館, 内閣広報室","茜出版","2010.7","","","",""
"523.1","02-3","State Guest House Akasaka Palace : 国宝迎賓館赤坂離宮","制作協力: 小玉 正任 文学博士, 迎賓館","茜出版","2010.7","英語併記 ","","",""
"521.825","02-3","皇室建築 : 内匠寮の人と作品","鈴木 博之 監修, 内匠寮の人と作品刊行委員会 編,  執筆: 浅羽 英男ほか ","建築画報社","2005.12","","","",""
"210.4","02-3","全国城郭縄張図集成　ー阿波を中心とした中世城郭研究論集","本田 昇 著, 八巻 孝夫 編","岩田書院","2015.7","","","",""
"629.21","02-3","大名たちの庭園：江戸藩邸と諸藩城下の庭園風景ー　(平成16年度秋季特別展覧会)","鳥取市歴史博物館","鳥取市歴史博物館　やまびこ館","2004.10","","会期: 平成16年10月9日-11月14日 ","","#江戸べらぼう"
"210.2","02-3","長岡京　木簡二　(向日市埋蔵文化財報告書 35)","山中 章,  清水 みき 著","財団法人　向日市埋蔵文化財センター、向日市教育委員会","1993.3","","付 (172, 24p 21cm) : 解説
帙入","",""
"629.25","02-3","京都の造園　全2巻　(作庭集、細部手法集)　","京都府造園協同組合 編","誠文堂新光社","1974.10","","秩入 (秩の大きさ45cm) ","",""
"","","","","","","","","",""
"","","","","","","","","",""
"629.21","02-4","日本庭園集成　第１巻　数寄の庭","中村 昌生, 西澤 文隆 監修","小学館","1983","","","",""
"629.21","02-4","日本庭園集成　第２巻　玄関の庭","中村 昌生, 西澤 文隆 監修","小学館","1984","","","",""
"629.21","02-4","日本庭園集成　第３巻　坪庭","中村 昌生, 西澤 文隆 監修","小学館","1984","","","",""
"629.21","02-4","日本庭園集成　第４巻　茶庭","中村 昌生, 西澤 文隆 監修","小学館","1984","","","",""
"791.6","02-4","茶苑の意匠 : 中村昌生数寄屋20集","中村 昌生 著,  撮影: 本木 誠一 ","毎日新聞社","1983.7","","","",""
"","","","","","","","","",""
"629.21","02-4","日本庭園の手法　第1巻　地割と意匠","重森 完途 責任編著, 大橋 治三 写真, 編集: 日本アート・センター ","毎日新聞社","1977.5","","","",""
"629.21","02-4","日本庭園の手法　第2巻　石組 (1)","重森 完途 責任編著, 大橋 治三 写真, 編集: 日本アート・センター ","毎日新聞社","1977.3","","","",""
"629.21","02-4","日本庭園の手法　第3巻　石組 (2)","重森 完途 責任編著, 大橋 治三 写真, 編集: 日本アート・センター ","毎日新聞社","1976","","","",""
"629.21","02-4","日本名園図譜","本多 錦吉郎 著","平凡社","1964","","本多 錦吉郎 (1850-1921)","",""
"","","","","","","","","",""
"","","","","","","","","",""
"629.21","02-5","日本名園図譜","本多 錦吉郎 著","平凡社","1964","","本多 錦吉郎 (1850-1921)","",""
"620","02-5","庭園圖説","近藤 正一 著","博文館","1911(明治44.12)","","和装, 再版","",""
"629","02-5","現代庭園圖説","椎原 兵市 著","現代庭園図説刊行会(大阪)","1924(大正13)","","椎原 兵市, 1884-1966
和装","",""
"521.86","02-5","京町家の環境技術と生活態度そして文化の形成","岡﨑 甚幸, 大谷 孝彦, 鈴木 利友, 天畠 秀秋 編著","武庫川女子大学出版部(西宮)","2012.1","","","",""
"683.21","02-5","中世に於ける水運の発達　","徳田 劔一 著（東京帝国大学資料編纂所嘱託)","章華社","1936(昭和11)","","","",""
"291.018","02-5","方位と風土","山田 安彦 編著","古今書院","1994.11","","","",""
"629.25","02-5","京都の造園　全2巻　(作庭集、細部手法集)　","京都府造園協同組合 編","誠文堂新光社","1974.10","","秩入り(秩の大きさ45cm) ,","",""
"","","","","","","","","",""
"","","","","","","","","",""
"629.21","02-6","作庭記秘抄","久恒 秀治 著","誠文堂新光社","1979.9","","","",""
"629.21","02-6","図解 作庭記","斎藤 勝雄 著　","技法堂出版","1966","","","",""
"629.21","02-6","作庭記","林屋 辰三郎 校注","オンデマンド出版《リキエスタ》の会, トランスアート市谷分室","2001.4","","","",""
"629.21","02-6","図解 庭師が読みとく作庭記","小埜 雅章 著","学芸出版社(京都)","2008.5","","","",""
"629.21","02-6","日本庭園の不易と流行 : 『作庭記』から夢窓疎石, 小堀遠州, そして植治へ　(庭園学講座 19)","京都造形芸術大学日本庭園・歴史遺産研究センター 編","京都造形芸術大学 日本庭園・歴史遺産研究センター","2012.8","","","",""
"629.21","02-6","作庭記　現代語対訳と解説","京都芸術短期大学ランドスケープデザイン研究室","武居　二郎　著","1995.3","","","",""
"629.21","02-6","対訳”作庭記”ー作庭記シンポジューム資料ー","**","日本造園設計事務所連合　開催支部","1977.8","","","",""
"","","","","","","","","",""
"629.21","02-6","築山庭造伝 前編 : 解説   (造園古書叢書 )","上原 敬二 編","加島書店","1965.5","","","",""
"629.21","02-6","築山庭造伝 後編 : 解説   (造園古書叢書 )","上原 敬二 編","加島書店","1965.11","","","",""
"629.21","02-6","石組園生八重垣伝 : 解説   (造園古書叢書 3)","上原 敬二 編","加島書店","1969.9","","","",""
"629.2","02-6","芥子園樹石画譜 : 解説  (造園古書叢書 4)","上原 敬二 編","加島書店","1977.6","","箱あり","",""
"629.2","02-6","芥子園風景画譜 : 解説   (造園古書叢書 5)","上原 敬二 編","加島書店","1977.6","","箱あり","",""
"629.2","02-6","山水並に野形図・作庭記 : 解説   (造園古書叢書 6)","上原 敬二 編","加島書店","1972","","箱あり","",""
"629.2","02-6","南坊録抜萃 ・露地聴書: 解説   (造園古書叢書 7)","上原 敬二 編","加島書店","1983.11","","箱あり","",""
"629.21","02-6","余景作り庭の図・他三古書 : 解説   (造園古書叢書 8)
 	解説 余景作り庭の図(菱川師宣) / 解説 嵯峨流庭古法秘伝の書 / 解説 築山山水伝 / 解説 夢窓流治庭","上原 敬二 編","加島書店","1972","","箱あり","",""
"291.62","02-6","都林泉名勝図絵 : 抄   (造園古書叢書 9)","秋里 籬島 著, 上原 敬二 編","加島書店","1972","","箱あり","",""
"","","","","","","","","",""
"","","","","","","","","",""
"709.1","02-7","文化財保護法五十年史","文化庁、編集協力：文化財保護法50年史顧問会議","ぎょうせい","2001.8","","","",""
"291.02","02-7","史跡名勝天然記念物調査 第1集 ","文化財保護委員会 編","吉川弘文館","1957","","","",""
"521.5","02-7","修学院離宮の復原的研究　(奈良国立文化財研究所学報　第2冊)","森 蘊 著,  奈良国立文化財研究所","養徳社(天理)","1954.8","","付: 英文解説 (抄訳) ","",""
"629.21","02-7","名勝浄瑠璃寺庭園環境整備事業報告書","庭園文化研究所 編","小田原山 浄瑠璃寺(京都府)","1977/3","","パンフレット","",""
"629.21 ","02-7","「日本の美術」　第429号：発掘された庭園","田中 哲雄 執筆･編集, 東京国立博物館 ほか監修","至文堂","2002.2","","","",""
"210.38","02-7","仙洞御移徙部類記  上下    (図書寮叢刊)","宮内庁書陵部 編 ","宮内庁書陵部","1990.3, 1991.3","","伏見宮家旧蔵・鎌倉時代写本の翻刻,  上巻は1〜10巻, 下巻は11〜14巻を収録, 下巻: 付: 「上皇御移徙記」「御移徙雑記」「諸院宮御移徙部類記」 ","",""
"291.62","02-7","京都史蹟の研究","西田 直二郎 著","吉川弘文館","1961","","","",""
"081","02-7","故実叢書  第25　 	鳳闕見聞図説, 安政御造営記, 宮殿并調度沿革, 調度図会, 室町殿屋形私考, 家屋雑考, 服飾管見","故実叢書編集部 編,  執筆: 源 宗隆, 勢多 章甫, 青木 久邦, 伊勢 貞春, 沢田 名垂, 徳川 宗武","明治図書出版","1955.12","","新訂増補
","",""
"313.61","02-7","近代天皇制と伝統文化 : その再構築と創造","高木 博志 著","岩波書店","2024.3","","","",""
"913.2 ","02-7","古事記 : 口語訳 : 完全版","訳・注釈：三浦 佑之","文藝春秋","2002.8","","","",""
"210.3","02-7","古事記     (古代史研究の最前線)","洋泉社編集部 編","洋泉社","2015.5","","","",""
"210.3","02-7","古事記及び日本書紀の研究 : 建国の事情と万世一系の思想　　(毎日ワンズ)","津田 左右吉 著","毎日ワンズ","2012.8","","","",""
"210.3","02-7","私の日本古代史 (下) 『古事記』は偽書かー継体朝から律令国家成立まで　　（新潮選書）","上田 正昭 著","新潮社","2012.12","","","",""
"210.3","02-7","日本の古代史 本当は何がすごいのか","武光 誠 著","育鵬社","2014.5","","","",""
"288.41","02-7","天皇125代 : 神武天皇から今上天皇まで　(T J ムック)","","宝島社","2019.4","","新装改訂版","",""
"216.2","02-7","再現・長岡京 : 幻の都2000年パンフレット","向日市文化財調査事務所, 向日市埋蔵文化財センター","京都府向日市","2001.3","","","",""
"210.36","02-7","長岡京遷都 : 桓武と激動の時代 : 企画展示","人間文化研究機構国立歴史民俗博物館 編","人間文化研究機構 国立歴史民俗博物館(佐倉)","2007.10","","図録,  会期: 2007年10月10日-12月2日","",""
"210.3","02-7","古事記と日本書紀 : 古代天皇のすべて   完全保存版 　[日本書記編纂1300年、最古の歴史書を紐解く]　(EIWA MOOK）","**","英和出版社","2019.2","","別タイトル 	Kojiki and Nihon Shoki","",""
"219.9","02-7","首里城物語 : 首里城が楽しく学べる","国営沖縄記念公園事務所企画・編集","海洋博覧会記念公園管理財団 首里城管理センター(那覇)","2000","","パンフレット","",""
"","","","","","","","","",""
"521.5","02-7","桂離宮 : 様式の背後を探る      (中公文庫)","和辻 哲郎 著","中央公論社","1958.9","","","",""
"521.4　","02-7","桂御山荘    (東亜建築撰書 10)","澤島 英太郎 著","龍吟社","1944","","","",""
"521.825 ","02-7","仙洞御所
Sento-Gosho (Ex-Emperor's Palace)","伝統文化保存協会  編","財団法人 伝統文化保存協会(京都)","2001.9","","パンフレット, 初版, 英文併記","",""
